Build completed successfully.
2026/06/04 11:33:53 socat[1640816] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:53 socat[1640822] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:53 socat[1640828] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:53 socat[1640834] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:53 socat[1640840] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:53 socat[1640846] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:54 socat[1640852] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:54 socat[1640858] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:54 socat[1640864] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:54 socat[1640870] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:54 socat[1640876] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:54 socat[1640882] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:54 socat[1640888] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:54 socat[1640894] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:55 socat[1640902] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:55 socat[1640908] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 11:33:55 socat[1640915] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:16 socat[1653946] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:17 socat[1653970] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:17 socat[1653976] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:17 socat[1653984] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:17 socat[1653991] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:17 socat[1654000] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:17 socat[1654006] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:17 socat[1654012] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:17 socat[1654019] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:17 socat[1654042] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:18 socat[1654048] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:18 socat[1654054] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:18 socat[1654060] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:18 socat[1654066] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:18 socat[1654072] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:18 socat[1654088] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:18 socat[1654094] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:18 socat[1654102] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:19 socat[1654110] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:19 socat[1654117] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:19 socat[1654125] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:19 socat[1654131] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:19 socat[1654140] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:19 socat[1654148] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:19 socat[1654155] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:19 socat[1654167] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:20 socat[1654173] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:20 socat[1654180] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:20 socat[1654187] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:20 socat[1654195] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:20 socat[1654202] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:20 socat[1654209] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:20 socat[1654217] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:21 socat[1654223] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:21 socat[1654230] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:21 socat[1654241] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:21 socat[1654249] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:21 socat[1654256] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:21 socat[1654265] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:21 socat[1654272] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:21 socat[1654280] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:22 socat[1654288] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:22 socat[1654297] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:22 socat[1654303] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:22 socat[1654313] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:22 socat[1654320] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:22 socat[1654326] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:22 socat[1654337] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:22 socat[1654343] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:23 socat[1654351] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 12:24:23 socat[1654358] E read(5, 0x61228fc95000, 8192): Connection reset by peer
2026/06/04 16:13:25 socat[1637996] W exiting on signal 15
